Unnamed: 0	count	total_hrs	total_f	avg_mins	avg_f	missing	missing_hr	most_overlap	long_title	long_id	long_date	long_length
ame	738.0	1862.0	77:13:51	151.0	2:31	24.0	39.33	Monday (09:30-09:35) 51	【CHARITY STREAM】9 Hour of Fun for Animals! PLAYING BPM, 【Outer Wilds】Space Detective back on the case	https://youtu.be/g8cM3yzgRP8, https://youtu.be/yzdYdFCm9Yg	June 06 2021, October 07 2021	552.0
irys	287.0	1143.0	47:15:10	239.0	3:59	13.0	30.17	Monday (13:24-13:34) 32	【Gundam Evolution】Let me in the robot NOW	https://youtu.be/WkIv3S1C-yg	October 10 2022	466.0
fauna	312.0	855.0	35:14:54	164.0	2:44	4.0	9.66	Thursday (09:20-09:21) Friday (08:00) 32	【GOLDEN POT ENDURANCE】 Streaming until I get the golden pot! with CHALLENGES & BATSU GAME	https://youtu.be/T7HY8ExrmRo	March 12 2022	699.0
sana	113.0	390.0	16:06:15	207.0	3:27	11.0	16.38	Tuesday (11:59-12:06, 12:17-12:58) 9	【Pokémon Shining Pearl】JUST POKEMON, 【Pokémon Legends: Arceus】POKEMON AS NATURAL AS BREATHING	https://youtu.be/oa1j9-wv3fY, https://youtu.be/YB79rnB6QYE	November 23 2021, February 01 2022	709.0
kronii	244.0	768.0	32:00:24	189.0	3:09	7.0	10.91	Wednesday (13:01-13:06, 13:19-13:20) 44	【Superchat Catchup】Birthday Soup-a 🎂	https://youtu.be/vTEJiKpQHIg	March 24 2022	355.0
mumei	299.0	758.0	31:14:02	152.0	2:32	9.0	15.75	Tuesday (12:42-12:44) 35	【POKÉMON VIOLET】THE YELLOW SHINY HUNT BEGINS ~	https://youtu.be/PHeWJNBIFbY	December 06 2022	391.0
bae	374.0	891.0	37:02:50	143.0	2:23	2.0	3.44	Friday (13:01) Saturday (12:14-12:17) 26	≪BAYONETTA 3≫ 12 HOURS (or there abouts) OF PURE LEGS - PART 1	https://youtu.be/qqfp-aH5tjQ	October 29 2022	673.0
miyabi	866.0	1989.0	82:21:27	138.0	2:18	130.0	355.16	Sunday (23:05-23:06) 67	【APEX】100KILLするまで終わらない耐久!!【花咲みやび/ホロスターズ】	https://youtu.be/ojO8kQbA5ec	March 11 2021	715.0
kira	114.0	178.0	7:09:54	94.0	1:34	18.0	52.96	Monday (21:00-21:06) 6	【バイオ5】騎士と高難度バイオクリア耐久【ホロスターズ/鏡見キラ】	https://youtu.be/vDCjUFKV_UE	April 16 2020	571.0
izuru	581.0	1293.0	53:21:00	134.0	2:14	95.0	157.59	Saturday (23:09-23:11) 31	【Apex Legends】耐久妨害耐久【奏手イヅル/アステル】	https://youtu.be/I2Pc2bgpblg	January 05 2021	715.0
aruran	1831.0	4534.0	188:21:31	149.0	2:29	101.0	171.25	Monday (22:01-22:02) 90	【DEATH STRANDING 】アルランディスは闘い続ける #4【 #アランストリーム 】	https://youtu.be/XDLeq13ihPo	July 25 2020	679.0
rikka	678.0	1266.0	52:18:27	112.0	1:52	84.0	121.47	Monday (23:05-23:10) Thursday (22:00, 22:02) 39	【5万人記念耐久枠】12時間歌枠(etc..)!告知もあるよ!!【律可/ホロスターズ】#律可12時間歌枠	https://youtu.be/UcFB-JalVVs	August 28 2020	713.0
astel	873.0	3145.0	131:01:08	216.0	3:36	98.0	289.11	Monday (01:34-01:35) 38	【作業用・勉強・睡眠用BGM】2020年”最高”に気が狂うヒットソングメドレー  / アステル・レダ	https://youtu.be/hjkBs2DLVZY	December 29 2020	720.0
temma	967.0	2193.0	91:09:11	136.0	2:16	38.0	69.64	Monday (22:05-22:08) 36	【APEX】戦略を練って生き残るプラチナペックス!!【ゆるスタ/ホロスターズ】	https://youtu.be/x-FNOtZpuZ0	March 19 2021	699.0
roberu	1372.0	2692.0	112:04:02	118.0	1:58	84.0	184.05	Monday (10:59) 61	【ウイニングポスト9 2021】ウイポ最新作!!強い馬を育てたいんや!!【ホロスターズ/夕刻ロベル】	https://youtu.be/MbXtmYhMvTI	April 16 2021	715.0
kaoru	167.0	251.0	10:11:08	90.0	1:30	167.0	251.16	Saturday (01:00-01:40) 12	【ワンダと巨像】最後までやりきる！ワンダと少女の運命は…【月下カオル/ホロスターズ】PlayStation®4用ソフトウェア『ワンダと巨像 Value Selection』	https://youtu.be/ltyAFtepjZE	July 25 2020	207.0
shien	552.0	1181.0	49:04:36	128.0	2:08	23.0	34.14	Saturday (22:02) 29	【10万人記念!】まさかまさかの10本仕立て!10時間を遊び尽くせ!【影山シエン/ホロスターズ】	https://youtu.be/dNAbILKBQFk	April 10 2021	655.0
oga	668.0	1340.0	55:19:50	120.0	2:00	13.0	20.09	Monday (00:03-00:12, 00:29-00:31) 53	【ポケットモンスター バイオレット】第一話 ニャオハ【荒咬オウガ/ホロスターズ】	https://youtu.be/IZjFjt4XnAU	November 18 2022	677.0
fuma	204.0	631.0	26:06:51	186.0	3:06	5.0	13.33	Tuesday (21:35-21:42) Friday (20:13-20:38) 16	【スプラトゥーン3前夜祭】ウデマエXが出撃!!!感謝の850(YAGOO)キル耐久!!!【夜十神封魔/アップロー/ホロスターズ】	https://youtu.be/11K1XRVu59k	August 28 2022	694.0
uyu	270.0	927.0	38:14:36	206.0	3:26	48.0	184.77	Tuesday (00:30-00:35) Friday (23:51-23:58) 16	【ネタバレあり】FFXIVシナリオを最高に楽しむ光の戦士【羽継烏有/アップロー】, 【 No Man's Sky 】無限の宇宙へ：episode3【#vtuber / #羽継烏有 / #ホロスターズ 】, 【 No Man's Sky 】無限の宇宙へ：episode2【#vtuber / #羽継烏有 / #ホロスターズ 】, 【 No Man's Sky 】無限の宇宙へ：episode1【#vtuber / #羽継烏有 / #ホロスターズ 】	https://youtu.be/I_EDDso1KCk, https://youtu.be/W5mlF-X9yAM, https://youtu.be/r6qUa-hsttk, https://youtu.be/nfDkMu-dbaY	April 08 2022, January 17 2023, January 14 2023, January 13 2023	715.0
gamma	247.0	784.0	32:16:19	191.0	3:11	5.0	14.68	Sunday (12:00-12:50) 20	【ポケモンSV/スカーレット】初見人生縛りプレイ!!色違い捕まえれてテンション爆上がり男【#緋崎ガンマ  /#アップロー  /#ホロスターズ】	https://youtu.be/rP964UkZNCk	November 21 2022	590.0
rio	262.0	974.0	40:13:36	223.0	3:43	5.0	11.21	Tuesday (23:14-23:21) 19	【 ポケモンSV バイオレット】ホロスタメンバー集めたい!  #3.5【水無世燐央 / UPROAR!! / アップロー / ホロスターズ 】	https://youtu.be/lyvdoKmJbCU	November 22 2022	715.0
altare	200.0	491.0	20:11:05	147.0	2:27	4.0	5.57	Friday (09:00-09:08) 19	SHINY PIKACHU ONLY PLAYTHROUGH 【Pokemon Scarlet】 【1】	https://youtu.be/IuN66w414AM	December 03 2022	715.0
magni	160.0	343.0	14:06:57	129.0	2:09	10.0	19.36	Wednesday (13:05-13:06) 16	【SUBNAUTICA】UNDERWATER MAGGING. HARDCORE MODE 1 LIFE	https://youtu.be/1ogZAqo574A	August 31 2022	645.0
axel	173.0	402.0	16:17:32	139.0	2:19	6.0	14.49	Monday (13:02-13:11) 12	【The Legend Of Zelda: BOTW】Saving Princess Maguni and Defeating Calamity Ragus feat. Nowa oji #6	https://youtu.be/KzHWUyR3Tds	September 22 2022	515.0
vesper	156.0	295.0	12:07:27	114.0	1:54	2.0	5.97	Friday (03:01-03:03) 19	【 Factorio 】Part the One	https://youtu.be/mQyug8X2JS8	October 20 2022	614.0
bettel	13.0	14.0	0:13:33	63.0	1:03	0.0	0.0	Thursday (11:00-11:57) 2	[Ultimate Chicken Horse] Be amazed as I win every single round! #holotempus	https://youtu.be/zdKOlv1ANYU	January 09 2023	120.0
flayon	16.0	18.0	0:18:00	68.0	1:08	0.0	0.0	Tuesday (09:59-10:59) Wednesday (06:00-07:01) Thursday (09:59-11:02) Friday (10:05-10:59) 2	【ULTIMATE CHICKEN HORSE】I kinda wanna mess everyone over ! #holoTEMPUS	https://youtu.be/bRfRjWHgIRo	January 09 2023	121.0
hakka	14.0	16.0	0:15:47	68.0	1:08	0.0	0.0	Sunday (14:08-14:53) Tuesday (11:59-12:58) Wednesday (12:00-12:58) Thursday (12:01-12:57) 2	【Pummel Party】TEMPUS VRS TEMPUS BABY! #holoTEMPUS #Banzoinhakka【EN】	https://youtu.be/UO-tqBV31WQ	January 18 2023	137.0
shinri	22.0	27.0	1:03:16	74.0	1:14	0.0	0.0	Monday (12:59-14:18) Tuesday (00:59-02:00, 12:59-14:02) Wednesday (01:00-02:00) Thursday (00:59-02:03, 12:58-14:00) Friday (00:59-02:04) 2	【Zatsudan】 I want to oya oya #JosuijiShinri #holoTEMPUS	https://youtu.be/nm9L0xZ5fHI	January 19 2023	131.0
